,unitid,log_yield_per_dollar,Total expenses,Institutional grants (funded)_per_dollar,Institutional grants (unfunded)_per_dollar,Sales and services of educational activities - Total_per_dollar,Sales and services of auxiliary enterprises - Total_per_dollar,Instruction-Total amount_per_dollar,Research-Total amount_per_dollar,Public service-Total amount_per_dollar,Academic support-Total amount_per_dollar,Student service-Total amount_per_dollar,Institutional support-Total amount_per_dollar,Auxiliary enterprises-Total amount_per_dollar,Net grant aid to students-Total amount_per_dollar
1032,224323,0.1175128751086958,60748333.333333336,0.010998930011797305,0.5193393508738237,0.0,0.17921204971329804,0.3799061702653022,0.001709237564816593,0.0,0.10744327690745974,0.14440176685231418,0.20697687179346483,0.15956267661664242,0.0
1033,224527,1.0667042052093423,33228428.333333332,0.07526745798038297,0.31959445669438574,0.0,0.24638560244874658,0.28511015442249077,0.0,0.0,0.03713892175760946,0.29584735600645573,0.1813287588032677,0.19735270356101206,0.0
1034,225201,0.6613966478210682,14411164.833333334,0.0,0.0003316410150467943,0.0008536436951678749,0.005490604050061232,0.288654760489,0.0,0.0,0.04158903925751364,0.0981142410313374,0.5716419592221489,0.0,0.0
1035,225247,0.13508207351781995,48690958.833333336,0.073948249386326,0.3529978613106862,0.0,0.1308626964705525,0.4352783660010967,0.0,0.0,0.03778327046226135,0.195815980251474,0.18450754271276362,0.14330480785733002,0.0
1036,225399,-0.9615062059185361,68812349.33333333,0.11249771891719747,0.508124442856788,0.0,0.13933028871833122,0.3112126317559046,0.0,0.0,0.06946708034693463,0.11391264420715802,0.22080100418796922,0.22317920134180566,0.0
1037,225548,1.0773475848227725,23535462.5,0.16708044296983754,0.3157508660246922,0.0,0.14282588809688077,0.3609440364018057,0.0,0.0,0.04911089665931429,0.25159398645058845,0.21185845260812983,0.12356809785800188,0.0
1038,225575,1.1199371640695723,20940936.666666668,0.019694781242672845,0.02546110242442196,0.0,0.1259745146707064,0.2583010772679541,0.0,0.0,0.07920721788789771,0.17160220149337477,0.21950575754252316,0.090080235188461,0.05266492377529753
1039,225627,-1.0274341312552144,166240235.5,0.006167545200973122,0.40717890465211715,0.008324041785098811,0.07953260909971861,0.40434064170944944,0.0043667767782968525,6.556274799470352e-05,0.14609559328573818,0.13136494664474094,0.21176081145930922,0.06216629387133739,0.0
1040,226231,0.8289559969569208,52587704.5,0.019063844730726618,0.28243952918690335,0.0,0.16658336931211742,0.3851099864354541,0.01344305682709539,0.0027029829124157086,0.05877205256854924,0.1761868816058831,0.17980578520973473,0.18397925444086774,0.0
1041,226383,1.3359212281139203,34191951.0,0.021481634668931292,0.26062356995461694,0.0,0.14848489244344867,0.365655735760735,0.0,0.0005300955186792354,0.055381708597636525,0.1972742649286085,0.1671344668223232,0.1630957385262982,0.0
1042,226471,-1.4188079980833166,81793724.5,0.04307484494119106,0.27540726958011713,0.0,0.16173158247611039,0.38051701020168116,0.0,0.0,0.06134817836788933,0.19524959603308767,0.18581626230587733,0.17509114039671833,0.0
1043,226587,0.8188970735021313,24855075.333333332,0.062417654309798516,0.3624925310358477,0.03485751521761632,0.10287912223319756,0.3804544359591963,0.0009111552883914011,0.0,0.0920901051114631,0.12214792321557506,0.159394541364362,0.22814478561360493,0.011373203643210308
1044,226675,0.6613966478210682,37841474.0,0.006644513019410043,0.0,0.0026472013220203844,0.1439818561683582,0.10411496743846008,0.0,0.0,0.006968342018953419,0.02041335651988609,0.011556680729015294,0.12199032821325441,0.0
1045,227331,-0.1321885172743407,59444612.0,0.010362124997972903,0.2642150533900925,0.0025789693661947585,0.04099153959767904,0.46401951169827355,0.0,0.0008721536164342924,0.08378752364189597,0.2223274387480792,0.2006753923018849,0.028317979993432094,0.0
1046,227429,1.6078179556927312,11428593.5,0.14626064878412204,0.0,0.0,0.16824153966685987,0.12463063222375818,0.0,0.0,0.22617211528843567,0.1986904308624387,0.28669159216019596,0.16381522946517144,0.0
1047,227757,-3.0791357663175116,699357333.3333334,0.04727085438440625,0.1511181823121418,0.04038445773071658,0.06223833119168456,0.45549144166644423,0.175036027362264,0.0,0.05799943900876614,0.11061739277775022,0.07750706624939467,0.08937203394354436,0.03397659899183631
1048,227845,-0.827705330527337,117660990.0,0.02591414820947311,0.5622230415252044,0.0,0.1436298555706526,0.33557803227730787,0.0,0.0,0.18259195054084337,0.15573157537883484,0.17650272759617838,0.14569442542794628,0.0
1049,227863,0.32953555884080493,65452843.666666664,0.0936758535843803,0.24710670452102743,0.0,0.058171162423291914,0.47925850494369404,0.0,0.0,0.042072842254050065,0.12305117519951297,0.21629697616753915,0.0947860676346168,0.0
1050,228042,0.6625933361172928,32998928.333333332,0.049530502429952654,0.3196456278857945,0.0,0.22685951367006515,0.3129761688725548,0.0,0.0,0.04938505831275228,0.18269990283017778,0.2290676257819888,0.225871143189145,0.0
1051,228149,-0.7852730095500392,100002077.33333333,0.06439786890826989,0.31643837152022897,0.0,0.131038101235177,0.3839628171457452,0.007651076061646613,0.022732007780425043,0.11535705198284016,0.15561868394787212,0.1883068449058085,0.12637151817566245,0.0
